City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,acapulco de juarez,16.8634,-99.8901,298.05,88,40,1.54,MX,1712121052
1,hermanus,-34.4187,19.2345,288.04,91,96,4.02,ZA,1712121263
2,sola,-13.8833,167.55,301.41,81,100,7.54,VU,1712121264
3,margaret river,-33.95,115.0667,296.7,38,0,1.62,AU,1712121074
4,santa rosa,14.3122,121.1114,307.1,60,9,6.89,PH,1712121027
5,chibougamau,49.9168,-74.3659,268.39,95,10,3.02,CA,1712121264
6,hirara,24.8,125.2833,297.68,90,2,9.95,JP,1712121264
7,sao gabriel da cachoeira,-0.1303,-67.0892,297.01,94,99,0.66,BR,1712121227
8,tiksi,71.6872,128.8694,256.04,89,100,1.66,RU,1712121265
9,georgetown,5.4112,100.3354,307.56,66,20,1.54,MY,1712121047
10,port-aux-francais,-49.35,70.2167,280.56,91,100,12.48,TF,1712121265
11,vallenar,-28.5708,-70.7581,291.76,71,0,1.31,CL,1712121266
12,grytviken,-54.2811,-36.5092,277.36,90,16,5.06,GS,1712121266
13,lebu,-37.6167,-73.65,284.81,87,70,2.46,CL,1712121266
14,adamstown,-25.066,-130.1015,297.19,72,100,10.35,PN,1712121147
15,smithers,54.7804,-127.1743,271.92,78,3,1.02,CA,1712121267
16,bubaque,11.2833,-15.8333,297.54,73,20,4.37,GW,1712121267
17,uturoa,-16.7333,-151.4333,301.63,74,87,7.77,PF,1712121267
18,feijo,-8.1642,-70.3536,296.2,98,57,0.57,BR,1712121267
19,ushuaia,-54.8,-68.3,274.96,80,0,3.6,AR,1712121013
20,howard springs,-12.497,131.047,304.1,87,46,5.19,AU,1712121268
21,brookings,44.3114,-96.7984,274.85,84,100,10.29,US,1712121045
22,invercargill,-46.4,168.35,290.17,63,100,4.02,NZ,1712121268
23,sanctuary point,-35.1114,150.629,295.0,68,60,4.35,AU,1712121268
24,klaksvik,62.2266,-6.589,272.66,59,100,10.8,FO,1712121268
25,sault ste. marie,46.5168,-84.3333,274.46,100,100,4.63,CA,1712121269
26,nahiyat al fuhud,30.9697,46.7228,298.66,20,86,3.67,IQ,1712121269
27,papatowai,-46.5619,169.4708,288.99,68,100,2.66,NZ,1712121269
28,sinabang,2.4803,96.3801,302.68,72,97,0.41,ID,1712121269
29,malvan,16.0667,73.4667,303.05,54,45,3.49,IN,1712121270
30,kodiak,57.79,-152.4072,272.88,37,0,2.57,US,1712121270
31,tamanrasset,22.785,5.5228,293.1,11,0,4.63,DZ,1712121270
32,karaton,-6.3424,106.1045,304.4,67,100,1.56,ID,1712121270
33,puerto ayora,-0.7393,-90.3518,297.34,97,87,0.89,EC,1712121270
34,south hedland,-20.4089,118.5983,312.11,19,0,9.26,AU,1712121271
35,fort bragg,35.139,-79.006,296.06,71,100,5.66,US,1712121271
36,ilulissat,69.2167,-51.1,264.16,79,79,1.03,GL,1712121271
37,hithadhoo,-0.6,73.0833,302.02,71,91,1.07,MV,1712121271
38,codrington,-38.2667,141.9667,288.98,56,94,4.25,AU,1712121271
39,gadzhiyevo,69.2551,33.3362,256.16,99,80,1.93,RU,1712121272
40,jamestown,42.097,-79.2353,282.99,97,100,5.14,US,1712121272
41,east london,-33.0153,27.9116,290.86,72,64,2.86,ZA,1712121272
42,levuka,50.1834,-105.4011,278.9,58,75,4.81,CA,1712121272
43,iskushuban,10.2837,50.23,299.0,70,47,2.52,SO,1712121272
44,lihue,21.9789,-159.3672,298.73,75,100,8.23,US,1712121021
45,gisborne,-38.6533,178.0042,292.74,69,1,4.17,NZ,1712121273
46,isafjordur,66.0755,-23.124,266.61,64,41,1.88,IS,1712121273
47,pokrovsk,48.282,37.1758,285.07,68,91,5.62,UA,1712121273
48,bethel,41.3712,-73.414,279.46,87,100,1.34,US,1712121274
49,shingu,33.7333,135.9833,287.83,96,100,3.43,JP,1712121274
50,esmeralda,21.8525,-78.1169,295.84,86,84,2.18,CU,1712121274
51,la passe,45.5549,-0.8967,286.28,89,76,8.68,FR,1712121274
52,olonkinbyen,70.9221,-8.7187,271.32,66,100,8.43,SJ,1712121274
53,punta arenas,-53.15,-70.9167,275.21,80,40,1.54,CL,1712121275
54,edinburgh of the seven seas,-37.0676,-12.3116,288.19,73,51,8.14,SH,1712121275
55,waitangi,-43.9535,-176.5597,288.05,88,100,1.34,NZ,1712121275
56,paragominas,-2.9667,-47.4833,296.2,99,100,0.97,BR,1712121008
57,puerto natales,-51.7236,-72.4875,276.33,76,85,4.91,CL,1712121054
58,fale old settlement,-9.3852,-171.2468,302.86,69,93,1.04,TK,1712121276
59,kapsan-up,41.0903,128.2933,284.95,35,99,2.33,KP,1712121276
60,umba,66.6871,34.3429,258.01,92,48,2.5,RU,1712121276
61,bredasdorp,-34.5322,20.0403,287.64,92,71,1.63,ZA,1712121277
62,waddan,29.1614,16.139,292.05,39,59,1.32,LY,1712121277
63,holualoa,19.6228,-155.9522,297.06,91,75,0.45,US,1712121048
64,iqaluit,63.7506,-68.5145,268.54,79,97,4.02,CA,1712121277
65,constantia,44.1833,28.65,282.43,69,54,3.23,RO,1712120987
66,nha trang,12.25,109.1833,307.15,59,100,5.26,VN,1712121278
67,faya-largeau,17.9257,19.1043,297.16,13,46,7.3,TD,1712121278
68,blackmans bay,-43.0167,147.3167,288.0,51,100,0.89,AU,1712121278
69,talnakh,69.4865,88.3972,264.08,94,100,6.74,RU,1712121278
70,dryden,49.7833,-92.7503,270.57,97,100,3.4,CA,1712121279
71,tolanaro,-25.0319,46.9987,296.16,87,95,5.99,MG,1712121279
72,merizo village,13.2658,144.6691,303.47,86,96,8.14,GU,1712121279
73,lamarque,-39.423,-65.7021,289.03,40,100,9.15,AR,1712121279
74,psedakh,43.4672,44.5692,284.37,57,29,1.27,RU,1712121279
75,albany,42.6001,-73.9662,278.66,77,100,1.79,US,1712121142
76,buka,40.8108,69.1986,284.46,73,100,1.32,UZ,1712121280
77,port elizabeth,-33.918,25.5701,290.55,79,36,0.89,ZA,1712121280
78,annaba,36.9,7.7667,281.13,93,0,1.54,DZ,1712121280
79,sisimiut,66.9395,-53.6735,267.32,66,33,3.4,GL,1712121280
80,palikir - national government center,6.9248,158.1611,303.62,70,75,6.69,FM,1712121281
81,zhigalovo,54.8097,105.1578,274.74,50,87,1.42,RU,1712121281
82,minas de marcona,-15.2119,-75.1103,290.54,78,93,2.34,PE,1712121281
83,vila velha,-20.3297,-40.2925,298.12,94,0,1.54,BR,1712121183
84,inverell,-29.7833,151.1167,300.43,45,29,2.24,AU,1712121282
85,puerto baquerizo moreno,-0.9,-89.6,297.55,85,84,3.07,EC,1712121282
86,bikenibeu village,1.3673,173.1241,302.13,89,75,4.12,KI,1712121282
87,ghanzi,-21.5667,21.7833,291.56,90,100,3.82,BW,1712121282
88,fort-shevchenko,44.5086,50.263,286.96,47,0,7.88,KZ,1712121282
89,kabo,7.6994,18.629,299.91,51,94,3.76,CF,1712121080
90,cedeira,43.6797,-8.0209,286.94,76,69,8.98,ES,1712121283
91,stanley,54.868,-1.6985,280.92,98,100,4.12,GB,1712121224
92,el bauga,18.262,33.9081,298.57,17,89,2.31,SD,1712121283
93,kangding,30.0513,101.9603,285.18,87,98,2.1,CN,1712121284
94,mukalla,14.5425,49.1242,300.06,72,35,2.3,YE,1712121284
95,amble,55.3333,-1.5833,281.23,93,100,5.66,GB,1712121284
96,badger,64.8,-147.5333,262.29,63,20,2.57,US,1712121284
97,hawaiian paradise park,19.5933,-154.9731,295.39,86,75,1.54,US,1712121284
98,nantucket,41.2835,-70.0995,279.18,87,100,4.12,US,1712121048
99,melo,-32.3667,-54.1833,285.82,90,2,2.99,UY,1712121285
100,longyearbyen,78.2186,15.6401,258.06,78,75,1.54,SJ,1712121285
101,chodziez,52.995,16.9198,282.05,90,99,5.89,PL,1712121285
102,praya,14.9215,-23.5087,294.45,78,20,4.12,CV,1712121285
103,happy valley-goose bay,53.3168,-60.3315,273.32,80,100,3.6,CA,1712121286
104,copala,16.65,-98.9833,296.9,87,8,1.38,MX,1712121286
105,karachi,24.9056,67.0822,301.05,61,40,4.63,PK,1712121032
